slate,rank,pts,pct,cash,stack,bb,split,dst_own,dst_opp_total,dst_sal,own_sum,n_low,n_chalk,sal,flex_pos,entry,mine,stack_bin,bb_bin,dst_tier,dst_opp_tier,own_q,sal_bin
wk1_main,117,212.36,0.9926721415034744,True,0,1,3-3,15.21,20.06,2500,115.44,1,1,49900,TE,Film,False,0,1,12-25%,mid,Q3,49.6-49.9k
wk1_main,117,212.36,0.9926721415034744,True,1,0,2-4,11.05,17.17,3300,132.29999999999998,2,3,50000,TE,Mikniks19,False,1,0,5-12%,low O/U,Q3,>49.9k
wk1_main,121,212.29999,0.9924194567277321,True,2,1,3-3,1.37,23.61,2600,143.03,2,3,49800,TE,ukawuba,False,2,1,<5%,high O/U,Q4 chalk,49.6-49.9k
wk1_main,122,212.04,0.9923562855337966,True,2,1,3-3,5.82,18.69,2900,65.54,3,0,49900,WR,Kbigga,False,2,1,5-12%,low O/U,Q1 low,49.6-49.9k
wk1_main,123,211.8,0.992293114339861,True,2,1,3-3,2.2,21.69,2700,146.25,1,3,50000,RB,MNheadhunter,False,2,1,<5%,high O/U,Q4 chalk,>49.9k
wk1_main,123,211.79999,0.992293114339861,True,2,2,3-3,15.21,20.06,2500,172.63,0,3,49900,TE,comfo100,False,2,2,12-25%,mid,Q4 chalk,49.6-49.9k
wk1_main,125,211.76,0.9921667719519899,True,1,0,2-4,18.06,15.69,3400,139.89,1,2,50000,WR,Sheltonjl17,False,1,0,12-25%,low O/U,Q4 chalk,>49.9k
wk1_main,125,211.76,0.9921667719519899,True,0,0,2-4,2.71,22.0,2800,74.05,4,1,49400,TE,tyelow,False,0,0,<5%,high O/U,Q1 low,49-49.6k
wk1_main,127,211.70001,0.9920404295641188,True,1,0,2-4,4.54,22.81,2900,81.21,2,1,49800,WR,eweiner2,False,1,0,<5%,high O/U,Q1 low,49.6-49.9k
wk1_main,127,211.7,0.9920404295641188,True,0,0,1-5,1.6,28.19,2000,71.98,3,0,49900,RB,BerryXxX,False,0,0,<5%,high O/U,Q1 low,49.6-49.9k
wk1_main,127,211.7,0.9920404295641188,True,2,1,3-3,15.21,20.06,2500,143.06,1,2,49500,RB,HollywoodAce,False,2,1,12-25%,mid,Q4 chalk,49-49.6k
wk1_main,130,211.67998,0.9918509159823121,True,2,1,3-3,15.21,20.06,2500,100.78999999999999,4,1,49900,WR,MikeV1809,False,2,1,12-25%,mid,Q2,49.6-49.9k
wk1_main,131,211.63998,0.9917877447883765,True,0,1,1-5,5.82,18.69,2900,110.11999999999999,2,1,50000,RB,tretzck31,False,0,1,5-12%,low O/U,Q3,>49.9k
wk1_main,132,211.4,0.9917245735944409,True,2,1,3-3,11.05,17.17,3300,143.35,0,2,50000,TE,MJC777,False,2,1,5-12%,low O/U,Q4 chalk,>49.9k
wk1_main,132,211.4,0.9917245735944409,True,2,2,3-3,7.73,24.42,2100,133.59,1,2,49900,WR,drsaline,False,2,2,5-12%,high O/U,Q3,49.6-49.9k
wk1_main,132,211.4,0.9917245735944409,True,2,2,3-3,15.21,20.06,2500,163.55,0,3,50000,WR,FLEX305JC,False,2,2,12-25%,mid,Q4 chalk,>49.9k
wk1_main,135,211.35999,0.9915350600126343,True,2,0,3-3,15.21,20.06,2500,129.94,2,2,49500,RB,Ocin_D_Clown,False,2,0,12-25%,mid,Q3,49-49.6k
wk1_main,136,211.31999,0.9914718888186986,True,0,0,1-5,18.06,15.69,3400,132.31,1,2,49700,RB,ViperMentality248,False,0,0,12-25%,low O/U,Q3,49.6-49.9k
wk1_main,137,211.19998,0.9914087176247631,True,0,2,2-4,7.73,24.42,2100,152.1,0,3,49900,WR,AllUCanEat,False,0,2,5-12%,high O/U,Q4 chalk,49.6-49.9k
wk1_main,137,211.19998,0.9914087176247631,True,2,1,3-3,11.05,17.17,3300,122.0,0,1,50000,RB,mightypa,False,2,1,5-12%,low O/U,Q3,>49.9k
