player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available
00-0041326,CJ Donaldson,RB,NO,4000,44220428,3.1788,3.1788,1.0,1.0556904805357068,3.355781317326422,LV,23.5,43.89,2.0,1.0,5.0835,statline_mc+recal_10_4b,1.0370865523068635,7.328169518894639,0.0,0.0,0.0,1.80225,7.541065187098289,0.05625,0.82525,0.61125,5.02854285627977,0.023,2.3482108043378056,1.0075705129886163,0.7,,55.28939944772235,0.24812821015061956,0.678661709863446,,classic,True
00-0040238,LeQuint Allen Jr.,RB,JAX,4000,44220546,3.0849,3.0849,1.0,1.0857888899807675,3.349585536764625,NE,24.17,45.39,1.0,0.5,5.1172,statline_mc+recal_10_4b,0.9222280269490143,7.305429775225145,0.0,0.0,0.0,1.6385,7.553635942369773,0.05625,0.883,0.6535,5.451095193172765,0.0255,2.445223113554254,0.9043624232103711,0.0,,38.99242356517075,0.1869401864516814,0.1542507497188973,,classic,True
00-0039530,Brevyn Spann-Ford,TE,DAL,2500,44221190,3.0202,3.0202,1.0,1.1042073196411777,3.3349635350414117,BAL,24.58,52.56,2.0,1.0,4.5399,statline_mc+recal_10_4b,1.482206015573961,6.33704295601723,0.0,0.0,0.0,0.0,0.0,0.0,1.0045,0.6835,7.975075194674506,0.06,1.8527575194674508,1.482206015573961,1.7,,70.03926038500506,0.2999909401426015,1.8020462439748555,,classic,True
00-0040162,Dylan Sampson,RB,CLE,4000,44220426,3.7909,3.7909,1.0,0.8795923237825165,3.334419031218652,CAR,19.58,41.94,1.0,0.5,4.6583,statline_mc+recal_10_4b,1.4819640138749566,6.282942804510864,0.0,0.0,0.0,1.72325,6.221392400831367,0.041,0.71125,0.53275,3.4756577726055875,0.019,1.8524550173436956,1.4819640138749566,0.0,,26.95420615054533,0.18734508198478947,0.051634813326128084,,classic,True
00-0041511,Omar Cooper Jr.,WR,NYJ,3000,44220808,3.6,3.6,1.0,0.9195737930453582,3.3104698347640777,DET,20.47,47.5,1.0,0.5,4.9017,statline_mc+recal_10_4b,1.4325793929477058,6.118909697298659,0.0,0.0,0.0,0.0295,0.148270431072652,0.00075,1.09025,0.6795,8.665633987091066,0.04925,1.877890441816372,1.4325793929477058,4.0,,36.10791696405498,0.28250451423859907,0.39523287683082536,,classic,True
00-0039603,British Brooks,RB,HOU,4000,44220496,3.2381,3.2381,1.0,1.0193028512066038,3.3005694683484554,IND,22.69,42.56,1.0,0.5,4.9123,statline_mc+recal_10_4b,1.3741629114247895,6.543336646681347,0.0,0.0,0.0,1.88125,8.15972368766217,0.05625,0.4895,0.372,3.101841881574488,0.01475,1.926406556923666,1.3741629114247895,0.0,,34.75308979974969,0.18706215043199625,0.10491867691621579,,classic,True
00-0038824,Ryan Miller,WR,MIA,3200,44220786,4.2085,4.2085,1.0,0.7798632656212711,3.282076503968144,KC,17.36,46.11,1.0,0.5,5.3329,statline_mc+recal_10_4b,0.5976433604507929,7.447154105860303,0.0,0.0,0.0,0.042,0.1391646596817226,0.0015,1.58325,0.983,12.280166775491791,0.07075,2.684433143517351,0.5976433604507929,7.4,,30.25706002424227,0.32491974075655056,0.28014493590885875,,classic,True
00-0039798,Isaiah Davis,RB,NYJ,4000,44220530,3.5643,3.5643,1.0,0.9195737930453582,3.2776778780200906,DET,20.47,47.5,1.0,0.5,4.7558,statline_mc+recal_10_4b,1.4567457235644847,6.0482284703667775,0.0,0.0,0.0,1.46225,5.562198245360535,0.045,0.69225,0.51475,3.734623299195523,0.01825,1.8209321544556059,1.4567457235644847,0.0,,34.07600460396925,0.1871778722261475,0.09865533833548178,,classic,True
00-0040646,Jalen Royals,WR,KC,3000,44220810,2.5303,2.5303,1.0,1.291536226187301,3.2679929996353825,MIA,28.75,46.11,2.0,1.0,5.3107,statline_mc+recal_10_4b,0.9716619556541723,7.7573237203382135,0.0,0.0,0.0,0.01775,0.14129091611436578,0.00125,1.1095,0.70775,10.587019523697741,0.07975,2.29633104398121,0.9716619556541723,4.3,,64.49904938286797,0.41799043951848064,2.0996832219579935,,classic,True
00-0038710,Blake Whiteheart,TE,CLE,2500,44221284,3.6872,3.6872,1.0,0.8795923237825165,3.2432473203444885,CAR,19.58,41.94,2.0,1.0,4.7896,statline_mc+recal_10_4b,0.6289622824834922,7.8420462442757914,0.0,0.0,0.0,0.0,0.0,0.0,1.544,1.0395,10.242850378609967,0.0905,2.6142850378609963,0.6289622824834922,5.6,,45.52105948762484,0.30586727831787575,0.42599643973785173,,classic,True
00-0040785,Dohnte Meyers,WR,CIN,3000,44220974,3.1172,3.1172,1.0,1.0345766709249928,3.2250133666589775,PIT,23.03,42.5,2.0,1.0,5.1042,statline_mc+recal_10_4b,1.2495363708860143,6.597262251933875,0.0,0.0,0.0,0.29,2.1478462042115,0.00975,0.99325,0.60075,8.01942375351813,0.0475,1.9754769957729632,1.2495363708860143,1.9,,52.769264609970094,0.30060176581445613,1.053164190167867,,classic,True
00-0040568,Lan Larison,RB,NE,4000,44220556,3.3356,3.3356,1.0,0.9532660424241574,3.1797224398918575,JAX,21.22,45.39,1.0,0.5,5.1723,statline_mc+recal_10_4b,0.6922616895433528,6.923154672078017,0.0,0.0,0.0,1.46675,5.863242281010016,0.04,1.10775,0.8485,6.394478652170869,0.03275,2.5150220933180885,0.6647003465737691,2.9,,33.31941712855355,0.21889949675065695,0.09209785612597664,,classic,True
00-0039391,Kimani Vidal,RB,LAC,4000,44220422,3.2722,3.2722,1.0,0.9658444821922425,3.1604645945593544,BUF,21.5,50.28,1.0,0.5,4.729,statline_mc+recal_10_4b,1.4046509309152686,5.682650819518431,0.0,0.0,0.0,1.2955,5.27400385564124,0.0385,0.69475,0.52425,3.7916327807996204,0.01625,1.7558136636440858,1.4046509309152686,0.0,,37.23294743429287,0.1870374367312537,0.13145007840701536,,classic,True
00-0041125,Seth McGowan,RB,IND,4100,44220408,3.5315,3.5315,1.0,0.8921707635506017,3.1507456281998794,HOU,19.86,42.56,2.0,1.0,4.8118,statline_mc+recal_10_4b,1.1962912789789146,6.089709556514481,0.0,0.0,0.0,2.03375,7.170643356796811,0.05325,0.67275,0.51775,3.31167046943596,0.01775,1.986981382623277,1.1637642455766024,0.5,,41.55400103303733,0.19233648889757893,0.19469810941508098,,classic,True
