site,season,week,slate_id,slate_type,player_id,player_name,position,roster_role,slate_format,final_projection,actual_fpts,error,abs_error,source,logged_at
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,DST_MIN,Vikings,DST,,classic,7.032529525499999,8.0,0.9674704745000008,0.9674704745000008,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038559,Michael Wilson,WR,,classic,8.727763106585755,10.6,1.8722368934142448,1.8722368934142448,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036554,Nico Collins,WR,,classic,8.137694746730771,21.2,13.062305253269228,13.062305253269228,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0040663,Harold Fannin Jr.,TE,,classic,7.445557752468275,4.1,-3.345557752468276,3.345557752468276,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0034827,DJ Moore,WR,,classic,7.239863204887245,24.0,16.760136795112757,16.760136795112757,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0037238,Drake London,WR,,classic,8.946937189956953,5.5,-3.4469371899569534,3.4469371899569534,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0035640,DK Metcalf,WR,,classic,13.01015297733812,8.0,-5.01015297733812,5.01015297733812,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036970,Kyle Pitts Sr.,TE,,classic,10.855232536849162,0.0,-10.855232536849162,10.855232536849162,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038129,Cade Otton,TE,,classic,9.850493360832951,5.6,-4.250493360832952,4.250493360832952,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038124,Christian Watson,WR,,classic,8.436189870889086,35.7,27.263810129110915,27.263810129110915,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
