Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
133104-226048,RB,Elijah,Elijah Tau-Tolliver,Tau-Tolliver,,0,4000,BAL@IND,BAL,IND,,,,,,RB/FLEX,Elijah Tau-Tolliver,fd,4000,elijah tau tolliver,BAL,RB,classic,00-0040991,auto_exact,high
133104-137990,TE,Tip,Tip Reiman,Reiman,1.099999984105428,3,4000,ARI@LAC,ARI,LAC,,Ankle,,,,TE/FLEX,Tip Reiman,fd,4000,tip reiman,ARI,TE,classic,00-0039737,auto_exact,high
133104-169733,TE,Carsen,Carsen Ryan,Ryan,,0,4000,CLE@JAC,CLE,JAC,,,,,,TE/FLEX,Carsen Ryan,fd,4000,carsen ryan,CLE,TE,classic,00-0041131,auto_exact,high
133104-136970,WR,Danny,Danny Gray,Gray,0.0,1,4000,WAS@PHI,PHI,WAS,,,,,,WR/FLEX,Danny Gray,fd,4000,danny gray,PHI,WR,classic,00-0037828,auto_exact,high
133104-174856,WR,Hank,Hank Beatty,Beatty,,0,4000,NYJ@TEN,TEN,NYJ,,,,,,WR/FLEX,Hank Beatty,fd,4000,hank beatty,TEN,WR,classic,00-0040912,auto_exact,high
133104-152333,WR,Malik,Malik McClain,McClain,,0,4000,NYJ@TEN,NYJ,TEN,,,,,,WR/FLEX,Malik McClain,fd,4000,malik mcclain,NYJ,WR,classic,00-0041267,auto_exact,high
133104-71444,RB,Travis,Travis Homer,Homer,-0.0400000005960464,5,4000,ATL@PIT,PIT,ATL,,,,,,RB/FLEX,Travis Homer,fd,4000,travis homer,PIT,RB,classic,00-0035594,auto_fallback_team_mismatch,medium
133104-107286,WR,Jha'Quan,Jha'Quan Jackson,Jackson,-0.2666666706403096,12,4000,TB@CIN,TB,CIN,,,,,,WR/FLEX,Jha'Quan Jackson,fd,4000,jhaquan jackson,TB,WR,classic,00-0039392,auto_exact,high
133104-152350,RB,Jamal,Jamal Haynes,Haynes,,0,4000,TB@CIN,CIN,TB,,,,,,RB/FLEX,Jamal Haynes,fd,4000,jamal haynes,CIN,RB,classic,00-0041244,auto_exact,high
133104-170783,WR,Omari,Omari Kelly,Kelly,,0,4000,CHI@CAR,CHI,CAR,,,,,,WR/FLEX,Omari Kelly,fd,4000,omari kelly,CHI,WR,classic,00-0041168,auto_exact,high
133104-167714,TE,Kenny,Kenny Fletcher Jr.,Fletcher Jr.,,0,4000,TB@CIN,TB,CIN,,,,,,TE/FLEX,Kenny Fletcher Jr.,fd,4000,kenny fletcher,TB,TE,classic,00-0041252,auto_fallback_team_mismatch,medium
133104-119584,TE,Carson,Carson Towt,Towt,,0,4000,BAL@IND,IND,BAL,IR,Undisclosed,,,,TE/FLEX,Carson Towt,fd,4000,carson towt,IND,TE,classic,00-0040853,auto_exact,high
133104-71459,RB,Brittain,Brittain Brown,Brown,4.849999904632568,2,4000,CHI@CAR,CHI,CAR,IR,Undisclosed,,,,RB/FLEX,Brittain Brown,fd,4000,brittain brown,CHI,RB,classic,00-0037329,auto_exact,high
133104-152363,TE,Gavin,Gavin Bartholomew,Bartholomew,,0,4000,GB@MIN,MIN,GB,,,,,,TE/FLEX,Gavin Bartholomew,fd,4000,gavin bartholomew,MIN,TE,classic,00-0040215,auto_exact,high
133104-158511,RB,Max,Max Bredeson,Bredeson,,0,4000,GB@MIN,MIN,GB,,,,,,RB/FLEX,Max Bredeson,fd,4000,max bredeson,MIN,RB,classic,00-0041081,auto_exact,high
133104-138028,RB,Kalel,Kalel Mullings,Mullings,0.2333333293596903,3,4000,NYJ@TEN,TEN,NYJ,,,,,,RB/FLEX,Kalel Mullings,fd,4000,kalel mullings,TEN,RB,classic,00-0040205,auto_exact,high
133104-103214,WR,Eli,Eli Pancol,Pancol,,0,4000,BAL@IND,IND,BAL,,,,,,WR/FLEX,Eli Pancol,fd,4000,eli pancol,IND,WR,classic,00-0040337,auto_exact,high
133104-157490,TE,Will,Will Kacmarek,Kacmarek,,0,4000,MIA@LV,MIA,LV,Q,Undisclosed,,,,TE/FLEX,Will Kacmarek,fd,4000,will kacmarek,MIA,TE,classic,00-0041524,auto_exact,high
133104-138039,TE,Matt,Matt Hibner,Hibner,,0,4000,BAL@IND,BAL,IND,,,,,,TE/FLEX,Matt Hibner,fd,4000,matt hibner,BAL,TE,classic,,,
133104-201526,RB,Ian,Ian Wheeler,Wheeler,,0,4000,BUF@HOU,BUF,HOU,,,,,,RB/FLEX,Ian Wheeler,fd,4000,ian wheeler,BUF,RB,classic,00-0039466,auto_exact,high
133104-137017,TE,Drake,Drake Dabney,Dabney,0.800000011920929,1,4000,GB@MIN,GB,MIN,,,,,,TE/FLEX,Drake Dabney,fd,4000,drake dabney,GB,TE,classic,00-0040628,auto_exact,high
133104-119615,RB,Roydell,Roydell Williams,Williams,,0,4000,NO@DET,DET,NO,,,,,,RB/FLEX,Roydell Williams,fd,4000,roydell williams,DET,RB,classic,00-0041572,auto_exact,high
133104-158529,WR,Josh,Josh Cameron,Cameron,,0,4000,CLE@JAC,JAC,CLE,,,,,,WR/FLEX,Josh Cameron,fd,4000,josh cameron,JAX,WR,classic,00-0041100,auto_exact,high
133104-185153,RB,Davon,Davon Booth,Booth,,0,4000,BAL@IND,IND,BAL,,,,,,RB/FLEX,Davon Booth,fd,4000,davon booth,IND,RB,classic,00-0041277,auto_exact,high
133104-159559,WR,Roc,Roc Taylor,Taylor,,0,4000,CHI@CAR,CAR,CHI,,,,,,WR/FLEX,Roc Taylor,fd,4000,roc taylor,CAR,WR,classic,00-0040531,auto_exact,high
133104-69451,TE,Jack,Jack Stoll,Stoll,1.7000000476837158,8,4000,CLE@JAC,CLE,JAC,Q,Undisclosed,,,,TE/FLEX,Jack Stoll,fd,4000,jack stoll,CLE,TE,classic,00-0036741,auto_fallback_team_mismatch,medium
