Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
QB,Sam Hartman (44095921),Sam Hartman,44095921,QB,4000,WAS@PHI 09/13/2026 04:25PM ET,WAS,0.0,,Sam Hartman,dk,4000,sam hartman,WAS,QB,classic,00-0039677,auto_exact,high
QB,Andy Dalton (44095922),Andy Dalton,44095922,QB,4000,WAS@PHI 09/13/2026 04:25PM ET,PHI,3.1,,Andy Dalton,dk,4000,andy dalton,PHI,QB,classic,00-0027973,auto_fallback_team_mismatch,medium
QB,Tanner McKee (44095923),Tanner McKee,44095923,QB,4000,WAS@PHI 09/13/2026 04:25PM ET,PHI,3.7,,Tanner McKee,dk,4000,tanner mckee,PHI,QB,classic,00-0038400,auto_exact,high
QB,Cole Payton (44095924),Cole Payton,44095924,QB,4000,WAS@PHI 09/13/2026 04:25PM ET,PHI,0.0,,Cole Payton,dk,4000,cole payton,PHI,QB,classic,00-0040891,auto_exact,high
QB,Carson Wentz (44095925),Carson Wentz,44095925,QB,4000,GB@MIN 09/13/2026 04:25PM ET,MIN,16.3,,Carson Wentz,dk,4000,carson wentz,MIN,QB,classic,00-0032950,auto_exact,high
QB,Max Brosmer (44095926),Max Brosmer,44095926,QB,4000,GB@MIN 09/13/2026 04:25PM ET,MIN,1.3,,Max Brosmer,dk,4000,max brosmer,MIN,QB,classic,00-0040494,auto_exact,high
QB,Tyrod Taylor (44095927),Tyrod Taylor,44095927,QB,4000,GB@MIN 09/13/2026 04:25PM ET,GB,10.9,,Tyrod Taylor,dk,4000,tyrod taylor,GB,QB,classic,00-0028118,auto_fallback_team_mismatch,medium
QB,Kedon Slovis (44095928),Kedon Slovis,44095928,QB,4000,GB@MIN 09/13/2026 04:25PM ET,GB,-0.0,,Kedon Slovis,dk,4000,kedon slovis,GB,QB,classic,00-0039577,auto_fallback_team_mismatch,medium
RB,DJ Herman (44095983),DJ Herman,44095983,RB/FLEX,4000,MIA@LV 09/13/2026 04:25PM ET,MIA,0.0,,DJ Herman,dk,4000,dj herman,MIA,RB,classic,00-0041436,auto_exact,high
RB,Carlos Washington Jr. (44095985),Carlos Washington Jr.,44095985,RB/FLEX,4000,MIA@LV 09/13/2026 04:25PM ET,MIA,0.0,,Carlos Washington Jr.,dk,4000,carlos washington,MIA,RB,classic,00-0038930,auto_exact,high
RB,Jarquez Hunter (44095987),Jarquez Hunter,44095987,RB/FLEX,4000,MIA@LV 09/13/2026 04:25PM ET,MIA,0.0,,Jarquez Hunter,dk,4000,jarquez hunter,MIA,RB,classic,00-0040692,auto_fallback_team_mismatch,medium
RB,Dylan Laube (44095989),Dylan Laube,44095989,RB/FLEX,4000,MIA@LV 09/13/2026 04:25PM ET,LV,0.3,,Dylan Laube,dk,4000,dylan laube,LV,RB,classic,00-0039407,auto_exact,high
RB,Chris Collier (44095991),Chris Collier,44095991,RB/FLEX,4000,MIA@LV 09/13/2026 04:25PM ET,LV,0.0,IR,Chris Collier,dk,4000,chris collier,LV,RB,classic,00-0039244,auto_exact,high
RB,Dare Ogunbowale (44095993),Dare Ogunbowale,44095993,RB/FLEX,4000,MIA@LV 09/13/2026 04:25PM ET,LV,1.3,,Dare Ogunbowale,dk,4000,dare ogunbowale,LV,RB,classic,00-0033854,auto_fallback_team_mismatch,medium
RB,Connor Heyward (44095995),Connor Heyward,44095995,RB/FLEX,4000,MIA@LV 09/13/2026 04:25PM ET,LV,1.5,,Connor Heyward,dk,4000,connor heyward,LV,RB,classic,00-0037304,auto_fallback_team_mismatch,medium
RB,Amar Johnson (44095997),Amar Johnson,44095997,RB/FLEX,4000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0.4,,Amar Johnson,dk,4000,amar johnson,LAC,RB,classic,00-0040039,auto_exact,high
RB,Scott Matlock (44095999),Scott Matlock,44095999,RB/FLEX,4000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0.7,IR,Scott Matlock,dk,4000,scott matlock,LAC,RB,classic,00-0038614,auto_fallback_name_only_position_mismatch,low
RB,Alec Ingold (44096001),Alec Ingold,44096001,RB/FLEX,4000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0.8,,Alec Ingold,dk,4000,alec ingold,LAC,RB,classic,00-0035125,auto_fallback_team_mismatch,medium
RB,Gregory Desrosiers (44096003),Gregory Desrosiers,44096003,RB/FLEX,4000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0.0,,Gregory Desrosiers,dk,4000,gregory desrosiers,LAC,RB,classic,00-0041376,auto_exact,high
RB,Bam Knight (44096005),Bam Knight,44096005,RB/FLEX,4000,ARI@LAC 09/13/2026 04:25PM ET,ARI,7.8,,Bam Knight,dk,4000,bam knight,ARI,RB,classic,00-0037157,auto_exact,high
RB,Evan Hull (44096007),Evan Hull,44096007,RB/FLEX,4000,ARI@LAC 09/13/2026 04:25PM ET,ARI,1.1,,Evan Hull,dk,4000,evan hull,ARI,RB,classic,00-0038397,auto_fallback_team_mismatch,medium
RB,Craig Reynolds (44096009),Craig Reynolds,44096009,RB/FLEX,4000,WAS@PHI 09/13/2026 04:25PM ET,WAS,0.1,,Craig Reynolds,dk,4000,craig reynolds,WAS,RB,classic,00-0035567,auto_fallback_team_mismatch,medium
RB,Robert Henry Jr. (44096011),Robert Henry Jr.,44096011,RB/FLEX,4000,WAS@PHI 09/13/2026 04:25PM ET,WAS,0.0,,Robert Henry Jr.,dk,4000,robert henry,WAS,RB,classic,00-0041178,auto_exact,high
RB,Carson Steele (44096013),Carson Steele,44096013,RB/FLEX,4000,WAS@PHI 09/13/2026 04:25PM ET,PHI,0.0,,Carson Steele,dk,4000,carson steele,PHI,RB,classic,00-0039325,auto_exact,high
RB,Dameon Pierce (44096015),Dameon Pierce,44096015,RB/FLEX,4000,WAS@PHI 09/13/2026 04:25PM ET,PHI,0.7,,Dameon Pierce,dk,4000,dameon pierce,PHI,RB,classic,00-0037258,auto_fallback_team_mismatch,medium
