Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
WR,Michael Pittman Jr. (44247072),Michael Pittman Jr.,44247072,WR/FLEX,4700,CIN@PIT 09/27/2026 01:00PM ET,PIT,8.8,Q,Michael Pittman Jr.,dk,4700,michael pittman,PIT,WR,classic,00-0036252,auto_fallback_team_mismatch,medium
TE,Isaiah Likely (44247366),Isaiah Likely,44247366,TE/FLEX,4700,TEN@NYG 09/27/2026 01:00PM ET,NYG,18.1,,Isaiah Likely,dk,4700,isaiah likely,NYG,TE,classic,00-0037838,auto_fallback_team_mismatch,medium
RB,Jonathon Brooks (44246860),Jonathon Brooks,44246860,RB/FLEX,4600,CAR@CLE 09/27/2026 01:00PM ET,CAR,4.7,IR,Jonathon Brooks,dk,4600,jonathon brooks,CAR,RB,classic,00-0039344,auto_exact,high
RB,Chris Rodriguez Jr. (44246862),Chris Rodriguez Jr.,44246862,RB/FLEX,4600,NE@JAX 09/27/2026 01:00PM ET,JAX,1.8,,Chris Rodriguez Jr.,dk,4600,chris rodriguez,JAX,RB,classic,00-0038611,auto_fallback_team_mismatch,medium
WR,Keenan Allen (44247074),Keenan Allen,44247074,WR/FLEX,4600,HOU@IND 09/27/2026 01:00PM ET,IND,5.4,,Keenan Allen,dk,4600,keenan allen,IND,WR,classic,00-0030279,auto_fallback_team_mismatch,medium
WR,Brian Thomas Jr. (44247076),Brian Thomas Jr.,44247076,WR/FLEX,4600,NE@JAX 09/27/2026 01:00PM ET,JAX,7.0,,Brian Thomas Jr.,dk,4600,brian thomas,JAX,WR,classic,00-0039893,auto_exact,high
QB,Marcus Mariota (44246770),Marcus Mariota,44246770,QB,4500,SEA@WAS 09/27/2026 01:00PM ET,WAS,8.7,,Marcus Mariota,dk,4500,marcus mariota,WAS,QB,classic,00-0032268,auto_exact,high
RB,George Holani (44246864),George Holani,44246864,RB/FLEX,4500,SEA@WAS 09/27/2026 01:00PM ET,SEA,2.7,,George Holani,dk,4500,george holani,SEA,RB,classic,00-0039299,auto_exact,high
RB,Raheim Sanders (44246866),Raheim Sanders,44246866,RB/FLEX,4500,CAR@CLE 09/27/2026 01:00PM ET,CLE,3.9,,Raheim Sanders,dk,4500,raheim sanders,CLE,RB,classic,00-0040466,auto_exact,high
WR,Wan'Dale Robinson (44247078),Wan'Dale Robinson,44247078,WR/FLEX,4500,TEN@NYG 09/27/2026 01:00PM ET,TEN,5.4,,Wan'Dale Robinson,dk,4500,wandale robinson,TEN,WR,classic,00-0038117,auto_fallback_team_mismatch,medium
WR,Kayshon Boutte (44247080),Kayshon Boutte,44247080,WR/FLEX,4500,HOU@IND 09/27/2026 01:00PM ET,HOU,4.9,,Kayshon Boutte,dk,4500,kayshon boutte,HOU,WR,classic,00-0038608,auto_fallback_team_mismatch,medium
WR,Denzel Boston (44247082),Denzel Boston,44247082,WR/FLEX,4500,CAR@CLE 09/27/2026 01:00PM ET,CLE,17.2,,Denzel Boston,dk,4500,denzel boston,CLE,WR,classic,00-0041037,auto_exact,high
TE,Travis Kelce (44247368),Travis Kelce,44247368,TE/FLEX,4500,KC@MIA 09/27/2026 01:00PM ET,KC,19.1,,Travis Kelce,dk,4500,travis kelce,KC,TE,classic,00-0030506,auto_exact,high
QB,Joe Flacco (44246771),Joe Flacco,44246771,QB,4400,CIN@PIT 09/27/2026 01:00PM ET,CIN,0.0,,Joe Flacco,dk,4400,joe flacco,CIN,QB,classic,00-0026158,auto_exact,high
RB,Braelon Allen (44246868),Braelon Allen,44246868,RB/FLEX,4400,NYJ@DET 09/27/2026 01:00PM ET,NYJ,6.3,,Braelon Allen,dk,4400,braelon allen,NYJ,RB,classic,00-0039794,auto_exact,high
RB,Emmett Johnson (44246870),Emmett Johnson,44246870,RB/FLEX,4400,KC@MIA 09/27/2026 01:00PM ET,KC,7.2,,Emmett Johnson,dk,4400,emmett johnson,KC,RB,classic,00-0041013,auto_exact,high
