Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
RB,Chris Brooks (43670260),Chris Brooks,43670260,RB/FLEX,3000,GB@TEN 07/30/2026 02:00PM ET,GB,0.0,,Chris Brooks,dk,3000,chris brooks,GB,RB,00-0038685,auto_exact,high
RB,Sean Tucker (43670262),Sean Tucker,43670262,RB/FLEX,3000,MIN@TB 07/30/2026 12:00PM ET,TB,0.0,,Sean Tucker,dk,3000,sean tucker,TB,RB,00-0038951,auto_exact,high
RB,C.J. Ham (43670264),C.J. Ham,43670264,RB/FLEX,3000,MIN@TB 07/30/2026 12:00PM ET,MIN,0.9,,C.J. Ham,dk,3000,cj ham,MIN,RB,00-0032918,auto_exact,high
RB,Connor Heyward (43670266),Connor Heyward,43670266,RB/FLEX,3000,ATL@PIT 07/30/2026 04:00PM ET,PIT,1.2,,Connor Heyward,dk,3000,connor heyward,PIT,RB,00-0037304,auto_exact,high
RB,Ko Kieft (43670268),Ko Kieft,43670268,RB/FLEX,3000,MIN@TB 07/30/2026 12:00PM ET,TB,0.2,,Ko Kieft,dk,3000,ko kieft,TB,RB,00-0037311,auto_fallback_name_only_position_mismatch,low
RB,Ben Sims (43670270),Ben Sims,43670270,RB/FLEX,3000,GB@TEN 07/30/2026 02:00PM ET,GB,0.8,,Ben Sims,dk,3000,ben sims,GB,RB,00-0038809,auto_fallback_name_only_position_mismatch,low
WR,Robert Woods (43670310),Robert Woods,43670310,WR/FLEX,3000,ATL@PIT 07/30/2026 04:00PM ET,PIT,2.4,,Robert Woods,dk,3000,robert woods,PIT,WR,,,
WR,Jalen Nailor (43670312),Jalen Nailor,43670312,WR/FLEX,3000,MIN@TB 07/30/2026 12:00PM ET,MIN,0.0,,Jalen Nailor,dk,3000,jalen nailor,MIN,WR,00-0037291,auto_exact,high
WR,Jalen McMillan (43670314),Jalen McMillan,43670314,WR/FLEX,3000,MIN@TB 07/30/2026 12:00PM ET,TB,0.6,,Jalen McMillan,dk,3000,jalen mcmillan,TB,WR,00-0039855,auto_exact,high
WR,KhaDarel Hodge (43670316),KhaDarel Hodge,43670316,WR/FLEX,3000,ATL@PIT 07/30/2026 04:00PM ET,ATL,0.0,,KhaDarel Hodge,dk,3000,khadarel hodge,ATL,WR,00-0034854,auto_exact,high
WR,Elic Ayomanor (43670318),Elic Ayomanor,43670318,WR/FLEX,3000,GB@TEN 07/30/2026 02:00PM ET,TEN,0.0,,Elic Ayomanor,dk,3000,elic ayomanor,TEN,WR,00-0040170,auto_exact,high
WR,Dontayvion Wicks (43670320),Dontayvion Wicks,43670320,WR/FLEX,3000,GB@TEN 07/30/2026 02:00PM ET,GB,0.4,,Dontayvion Wicks,dk,3000,dontayvion wicks,GB,WR,00-0038393,auto_exact,high
