Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 15,Unnamed: 16,Roster Position,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
132913-154124,TE,Mitchell,Mitchell Evans,Evans,2.7642857687813893,14,12000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Mitchell Evans,fd,12000,mitchell evans,CAR,TE,showdown,00-0040187,auto_exact,high
132913-152593,WR,Harrison,Harrison Wallace III,Wallace III,,0,12000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Harrison Wallace III,fd,12000,harrison wallace,ARI,WR,showdown,00-0041368,auto_exact,high
132913-102933,QB,Kedon,Kedon Slovis,Slovis,-0.0399999991059303,2,12000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Kedon Slovis,fd,12000,kedon slovis,ARI,QB,showdown,00-0039577,auto_exact,high
132913-112021,K,Ryan,Ryan Fitzgerald,Fitzgerald,6.611111111111111,18,12000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Ryan Fitzgerald,fd,12000,ryan fitzgerald,CAR,K,showdown,00-0040279,auto_exact,high
132913-175126,WR,Chris,Chris Brazzell II,Brazzell II,,0,12000,12000,CAR@ARI,CAR,ARI,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX,MVP,Chris Brazzell II,fd,12000,chris brazzell,CAR,WR,showdown,00-0041047,auto_exact,high
132913-64405,WR,Dan,Dan Chisena,Chisena,1.2999999523162842,4,12000,12000,CAR@ARI,CAR,ARI,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX,MVP,Dan Chisena,fd,12000,dan chisena,CAR,WR,showdown,00-0035976,auto_exact,high
132913-30231,QB,Jacoby,Jacoby Brissett,Brissett,17.674285888671875,14,12000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Jacoby Brissett,fd,12000,jacoby brissett,ARI,QB,showdown,00-0033119,auto_exact,high
132913-114198,WR,Xavier,Xavier Legette,Legette,4.568749904632568,16,12000,12000,CAR@ARI,CAR,ARI,Q,Neck,,,,MVP - 1.5X Points/AnyFLEX,MVP,Xavier Legette,fd,12000,xavier legette,CAR,WR,showdown,00-0039342,auto_exact,high
132913-152603,RB,Anthony,Anthony Tyus III,Tyus III,,0,12000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Anthony Tyus III,fd,12000,anthony tyus,CAR,RB,showdown,00-0040394,auto_exact,high
132913-89627,WR,Brycen,Brycen Tremayne,Tremayne,1.7692307692307692,13,12000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Brycen Tremayne,fd,12000,brycen tremayne,CAR,WR,showdown,00-0038840,auto_exact,high
132913-135325,TE,Rivaldo,Rivaldo Fairweather,Fairweather,,0,12000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Rivaldo Fairweather,fd,12000,rivaldo fairweather,ARI,TE,showdown,00-0040046,auto_exact,high
132913-80289,WR,Kendrick,Kendrick Bourne,Bourne,5.306666564941406,15,12000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Kendrick Bourne,fd,12000,kendrick bourne,ARI,WR,showdown,00-0033307,auto_fallback_team_mismatch,medium
