Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Woody Marks (43727387),Woody Marks,43727387,RB/FLEX,5000,BUF@HOU 09/13/2026 01:00PM ET,HOU,9.8,,Woody Marks,dk,5000,woody marks,HOU,RB,classic,00-0040583,auto_exact,high
RB,Isiah Pacheco (43727389),Isiah Pacheco,43727389,RB/FLEX,5000,NO@DET 09/13/2026 01:00PM ET,DET,6.7,IR,Isiah Pacheco,dk,5000,isiah pacheco,DET,RB,classic,00-0037197,auto_fallback_team_mismatch,medium
RB,Jonathon Brooks (43727391),Jonathon Brooks,43727391,RB/FLEX,5000,CHI@CAR 09/13/2026 01:00PM ET,CAR,0.0,Q,Jonathon Brooks,dk,5000,jonathon brooks,CAR,RB,classic,00-0039344,auto_exact,high
WR,Jakobi Meyers (43727691),Jakobi Meyers,43727691,WR/FLEX,5000,CLE@JAX 09/13/2026 01:00PM ET,JAX,10.5,Q,Jakobi Meyers,dk,5000,jakobi meyers,JAX,WR,classic,00-0034960,auto_exact,high
WR,Marvin Harrison Jr. (43727693),Marvin Harrison Jr.,43727693,WR/FLEX,5000,ARI@LAC 09/13/2026 04:25PM ET,ARI,10.7,,Marvin Harrison Jr.,dk,5000,marvin harrison,ARI,WR,classic,00-0039849,auto_exact,high
QB,Anthony Richardson Sr. (43727256),Anthony Richardson Sr.,43727256,QB,4900,BAL@IND 09/13/2026 01:00PM ET,IND,1.1,,Anthony Richardson Sr.,dk,4900,anthony richardson,IND,QB,classic,00-0039164,auto_exact,high
RB,Alvin Kamara (43727393),Alvin Kamara,43727393,RB/FLEX,4900,NO@DET 09/13/2026 01:00PM ET,NO,9.3,Q,Alvin Kamara,dk,4900,alvin kamara,NO,RB,classic,00-0033906,auto_exact,high
RB,Tyler Allgeier (43727395),Tyler Allgeier,43727395,RB/FLEX,4900,ARI@LAC 09/13/2026 04:25PM ET,ARI,7.2,,Tyler Allgeier,dk,4900,tyler allgeier,ARI,RB,classic,00-0037263,auto_fallback_team_mismatch,medium
RB,Tank Bigsby (43727397),Tank Bigsby,43727397,RB/FLEX,4900,WAS@PHI 09/13/2026 04:25PM ET,PHI,3.3,,Tank Bigsby,dk,4900,tank bigsby,PHI,RB,classic,00-0038555,auto_exact,high
WR,Jayden Reed (43727695),Jayden Reed,43727695,WR/FLEX,4900,GB@MIN 09/13/2026 04:25PM ET,GB,8.0,,Jayden Reed,dk,4900,jayden reed,GB,WR,classic,00-0039146,auto_exact,high
WR,Michael Pittman Jr. (43727697),Michael Pittman Jr.,43727697,WR/FLEX,4900,ATL@PIT 09/13/2026 01:00PM ET,PIT,12.1,Q,Michael Pittman Jr.,dk,4900,michael pittman,PIT,WR,classic,00-0036252,auto_fallback_team_mismatch,medium
TE,Tyler Warren (43728221),Tyler Warren,43728221,TE/FLEX,4900,BAL@IND 09/13/2026 01:00PM ET,IND,11.1,Q,Tyler Warren,dk,4900,tyler warren,IND,TE,classic,00-0040128,auto_exact,high
QB,Tua Tagovailoa (43727257),Tua Tagovailoa,43727257,QB,4800,ATL@PIT 09/13/2026 01:00PM ET,ATL,12.8,,Tua Tagovailoa,dk,4800,tua tagovailoa,ATL,QB,classic,00-0036212,auto_fallback_team_mismatch,medium
QB,Michael Penix Jr. (43727258),Michael Penix Jr.,43727258,QB,4800,ATL@PIT 09/13/2026 01:00PM ET,ATL,14.3,Q,Michael Penix Jr.,dk,4800,michael penix,ATL,QB,classic,00-0039917,auto_exact,high
RB,MarShawn Lloyd (43727399),MarShawn Lloyd,43727399,RB/FLEX,4800,GB@MIN 09/13/2026 04:25PM ET,GB,0.0,,MarShawn Lloyd,dk,4800,marshawn lloyd,GB,RB,classic,00-0039811,auto_exact,high
RB,Keaton Mitchell (43727401),Keaton Mitchell,43727401,RB/FLEX,4800,ARI@LAC 09/13/2026 04:25PM ET,LAC,4.3,Q,Keaton Mitchell,dk,4800,keaton mitchell,LAC,RB,classic,00-0038454,auto_fallback_team_mismatch,medium
RB,Kimani Vidal (43727403),Kimani Vidal,43727403,RB/FLEX,4800,ARI@LAC 09/13/2026 04:25PM ET,LAC,9.6,,Kimani Vidal,dk,4800,kimani vidal,LAC,RB,classic,00-0039391,auto_exact,high
RB,Nick Singleton (43727405),Nick Singleton,43727405,RB/FLEX,4800,NYJ@TEN 09/13/2026 01:00PM ET,TEN,0.0,,Nick Singleton,dk,4800,nick singleton,TEN,RB,classic,,,
WR,Wan'Dale Robinson (43727699),Wan'Dale Robinson,43727699,WR/FLEX,4800,NYJ@TEN 09/13/2026 01:00PM ET,TEN,14.2,Q,Wan'Dale Robinson,dk,4800,wandale robinson,TEN,WR,classic,00-0038117,auto_fallback_team_mismatch,medium
WR,Khalil Shakir (43727701),Khalil Shakir,43727701,WR/FLEX,4800,BUF@HOU 09/13/2026 01:00PM ET,BUF,11.4,Q,Khalil Shakir,dk,4800,khalil shakir,BUF,WR,classic,00-0037261,auto_exact,high
QB,Deshaun Watson (43727259),Deshaun Watson,43727259,QB,4700,CLE@JAX 09/13/2026 01:00PM ET,CLE,0.0,,Deshaun Watson,dk,4700,deshaun watson,CLE,QB,classic,00-0033537,auto_exact,high
QB,Shedeur Sanders (43727260),Shedeur Sanders,43727260,QB,4700,CLE@JAX 09/13/2026 01:00PM ET,CLE,12.4,,Shedeur Sanders,dk,4700,shedeur sanders,CLE,QB,classic,00-0040668,auto_exact,high
RB,Brian Robinson Jr. (43727407),Brian Robinson Jr.,43727407,RB/FLEX,4700,ATL@PIT 09/13/2026 01:00PM ET,ATL,3.4,,Brian Robinson Jr.,dk,4700,brian robinson,ATL,RB,classic,00-0037746,auto_fallback_team_mismatch,medium
RB,Braelon Allen (43727409),Braelon Allen,43727409,RB/FLEX,4700,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,4.1,,Braelon Allen,dk,4700,braelon allen,NYJ,RB,classic,00-0039794,auto_exact,high
RB,Sean Tucker (43727411),Sean Tucker,43727411,RB/FLEX,4700,TB@CIN 09/13/2026 01:00PM ET,TB,5.6,Q,Sean Tucker,dk,4700,sean tucker,TB,RB,classic,00-0038951,auto_exact,high
