Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
QB,Garrett Nussmeier (44191078),Garrett Nussmeier,44191078,CPT,9000,IND@KC 09/20/2026 08:20PM ET,KC,0,
QB,Anthony Richardson Sr. (44191079),Anthony Richardson Sr.,44191079,CPT,9000,IND@KC 09/20/2026 08:20PM ET,IND,0,
QB,Riley Leonard (44191080),Riley Leonard,44191080,CPT,9000,IND@KC 09/20/2026 08:20PM ET,IND,0,
WR,Keenan Allen (44191081),Keenan Allen,44191081,CPT,8400,IND@KC 09/20/2026 08:20PM ET,IND,9.2,
WR,Xavier Worthy (44191082),Xavier Worthy,44191082,CPT,8100,IND@KC 09/20/2026 08:20PM ET,KC,4.8,
WR,Alec Pierce (44191019),Alec Pierce,44191019,FLEX,7600,IND@KC 09/20/2026 08:20PM ET,IND,10.1,
K,Harrison Butker (44191083),Harrison Butker,44191083,CPT,7500,IND@KC 09/20/2026 08:20PM ET,KC,7,
TE,Tyler Warren (44191020),Tyler Warren,44191020,FLEX,7200,IND@KC 09/20/2026 08:20PM ET,IND,10.3,
K,Spencer Shrader (44191084),Spencer Shrader,44191084,CPT,6900,IND@KC 09/20/2026 08:20PM ET,IND,7,
WR,Josh Downs (44191021),Josh Downs,44191021,FLEX,6600,IND@KC 09/20/2026 08:20PM ET,IND,5.7,
DST,Chiefs (44191085),Chiefs,44191085,CPT,6300,IND@KC 09/20/2026 08:20PM ET,KC,12,
TE,Travis Kelce (44191022),Travis Kelce,44191022,FLEX,6200,IND@KC 09/20/2026 08:20PM ET,KC,10.1,
QB,Justin Fields (44191023),Justin Fields,44191023,FLEX,6000,IND@KC 09/20/2026 08:20PM ET,KC,0,
QB,Garrett Nussmeier (44191024),Garrett Nussmeier,44191024,FLEX,6000,IND@KC 09/20/2026 08:20PM ET,KC,0,
QB,Anthony Richardson Sr. (44191025),Anthony Richardson Sr.,44191025,FLEX,6000,IND@KC 09/20/2026 08:20PM ET,IND,0,
QB,Riley Leonard (44191026),Riley Leonard,44191026,FLEX,6000,IND@KC 09/20/2026 08:20PM ET,IND,0,
WR,Tyquan Thornton (44191086),Tyquan Thornton,44191086,CPT,5700,IND@KC 09/20/2026 08:20PM ET,KC,0,
