Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134516-120684,WR,Garrett,Garrett Greene,Greene,,0,4000,MIN@TB,TB,MIN,,,,,,WR/FLEX
134516-71032,WR,Devin,Devin Duvernay,Duvernay,0,2,4000,ARI@SF,ARI,SF,,,,,,WR/FLEX
134516-110978,RB,Evan,Evan Hull,Hull,0.9833333492279053,6,4000,ARI@SF,ARI,SF,,,,,,RB/FLEX
134516-23435,TE,Andrew,Andrew DePaola,DePaola,0,2,4000,MIN@TB,MIN,TB,,,,,,TE/FLEX
134516-102796,WR,Ricky,Ricky Pearsall,Pearsall,7.659999847412109,10,4000,ARI@SF,SF,ARI,IR,Knee - pcl,,,,WR/FLEX
134516-93075,TE,Hunter,Hunter Long,Long,0,1,4000,ARI@SF,ARI,SF,,,,,,TE/FLEX
134516-87442,TE,Princeton,Princeton Fant,Fant,,0,4000,BAL@DAL,DAL,BAL,IR,Knee - acl + mcl,,,,TE/FLEX
134516-28570,TE,Nick,Nick Vannett,Vannett,,0,4000,BAL@DAL,BAL,DAL,,,,,,TE/FLEX
134516-90533,RB,Jerome,Jerome Ford,Ford,2.353846183189979,13,4000,MIN@TB,MIN,TB,,,,,,RB/FLEX
134516-157609,WR,Gage,Gage Larvadain,Larvadain,0.7416666348775228,12,4000,BAL@DAL,BAL,DAL,,,,,,WR/FLEX
134516-166313,RB,Adam,Adam Randall,Randall,,0,4000,BAL@DAL,BAL,DAL,IR,Undisclosed,,,,RB/FLEX
134516-91055,WR,Kevin,Kevin Austin Jr.,Austin Jr.,1.2000000476837158,1,4000,LV@NO,NO,LV,,,,,,WR/FLEX
134516-138164,TE,Patrick,Patrick Gurd,Gurd,,0,4000,LV@NO,LV,NO,,,,,,TE/FLEX
134516-60858,WR,Christian,Christian Kirk,Kirk,6.1769233116736775,13,4000,ARI@SF,SF,ARI,IR,Calf,,,,WR/FLEX
134516-151993,TE,DJ,DJ Rogers,Rogers,,0,4000,BAL@DAL,DAL,BAL,IR,Knee,,,,TE/FLEX
134516-69068,RB,Jonathan,Jonathan Ward,Ward,,0,4000,BAL@DAL,BAL,DAL,,,,,,RB/FLEX
134516-190930,WR,Ja'Kobi,Ja'Kobi Lane,Lane,1.600000023841858,1,4000,BAL@DAL,BAL,DAL,IR,Wrist,,,,WR/FLEX
134516-109008,WR,Jalen,Jalen Moreno-Cropper,Moreno-Cropper,0,2,4000,LV@NO,NO,LV,,,,,,WR/FLEX
134516-136155,WR,Trayvon,Trayvon Rudolph,Rudolph,,0,4000,MIN@TB,MIN,TB,,,,,,WR/FLEX
134516-243161,TE,Ty,Ty Pezza,Pezza,,0,4000,BAL@DAL,BAL,DAL,,,,,,TE/FLEX
134516-243160,WR,Michael,Michael Briscoe,Briscoe,,0,4000,MIN@TB,MIN,TB,,,,,,WR/FLEX
134516-157150,RB,Audric,Audric Estime,Estime,8.419999694824218,5,4000,LV@NO,NO,LV,Q,Thigh,,,,RB/FLEX
134516-152540,TE,CJ,CJ Dippre,Dippre,,0,4000,MIN@TB,TB,MIN,,,,,,TE/FLEX
134516-85986,TE,James,James Mitchell,Mitchell,1.433333396911621,3,4000,BAL@DAL,DAL,BAL,,,,,,TE/FLEX
134516-155629,TE,Khalil,Khalil Dinkins,Dinkins,,0,4000,ARI@SF,SF,ARI,,,,,,TE/FLEX
134516-102902,WR,Trey,Trey Palmer,Palmer,,0,4000,LV@NO,NO,LV,,,,,,WR/FLEX
134516-12555,D,Baltimore,Baltimore Ravens,Ravens,4.5,2,3900,BAL@DAL,BAL,DAL,,,,,,DEF
134516-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,5.5,2,3700,MIN@TB,TB,MIN,,,,,,DEF
134516-12537,D,Las Vegas,Las Vegas Raiders,Raiders,12.5,2,3500,LV@NO,LV,NO,,,,,,DEF
134516-12542,D,New Orleans,New Orleans Saints,Saints,5,2,3400,LV@NO,NO,LV,,,,,,DEF
134516-12530,D,Dallas,Dallas Cowboys,Cowboys,3,2,3300,BAL@DAL,DAL,BAL,,,,,,DEF
134516-12546,D,Arizona,Arizona Cardinals,Cardinals,6,2,3000,ARI@SF,ARI,SF,,,,,,DEF
