player_id,player_name,position,team,salary,OLD,FIX_NS,FIX,stack_delta,proj_pass_att,act,slate_id,week,sub
00-0035659,Terry McLaurin,WR,WAS,5700,5.590525598412594,10.088600898233816,12.789893920580717,2.701293022346899,0.0,3.4,dk_classic_wk1_main_13Sep2026,1,main
00-0040129,Emeka Egbuka,WR,TB,6200,5.572947888086026,6.724916204600079,11.070036316949238,4.34512011234916,0.0,11.3,dk_classic_wk1_main_13Sep2026,1,main
00-0038611,Chris Rodriguez Jr.,RB,JAX,5100,5.436387434378383,6.938375797424818,9.177577686237068,2.239201888812248,0.0,2.3,dk_classic_wk1_main_13Sep2026,1,main
00-0040719,Bhayshul Tuten,RB,JAX,5800,5.413532862918219,7.178178796800087,8.726994613023834,1.5488158162237466,0.0,9.8,dk_classic_wk1_main_13Sep2026,1,main
00-0037809,Chig Okonkwo,TE,WAS,4000,5.37696156480987,9.460974496660034,9.397285653754103,-0.0636888429059308,0.0,3.6,dk_classic_wk1_main_13Sep2026,1,main
00-0038994,Jordan Addison,WR,MIN,5800,5.252638897267019,5.88543044630442,9.519135365848555,3.6337049195441375,0.0,0.0,dk_classic_wk1_main_13Sep2026,1,main
00-0040583,Woody Marks,RB,HOU,5000,5.200305713868272,6.768452561000162,9.583832836036866,2.815380275036704,0.0,5.0,dk_classic_wk1_main_13Sep2026,1,main
00-0037263,Tyler Allgeier,RB,ARI,4900,5.132478842418312,8.886282256635548,8.516709490508362,-0.3695727661271863,0.0,9.0,dk_classic_wk1_main_13Sep2026,1,main
00-0036407,Jerry Jeudy,WR,CLE,4100,5.046614068208452,4.947260830991538,8.024216413906796,3.076955582915258,0.0,4.6,dk_classic_wk1_main_13Sep2026,1,main
00-0039146,Jayden Reed,WR,GB,4900,4.794253325474152,5.007531552217258,9.013556793991064,4.006025241773807,0.0,5.0,dk_classic_wk1_main_13Sep2026,1,main
00-0037525,Jordan Mason,RB,MIN,5400,4.0272168831284505,4.743632258416377,8.17399021875102,3.430357960334644,0.0,11.9,dk_classic_wk1_main_13Sep2026,1,main
00-0033537,Deshaun Watson,QB,CLE,4700,2.650399688486006,9.413489556205556,9.699823951864689,0.2863343956591304,31.161,15.0,dk_classic_wk1_main_13Sep2026,1,main
