Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
75,5254100270,FuegoSteve,0,214.9,DST Steelers  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB Jonathan Taylor TE Sam LaPorta WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,Derrick Henry,FLEX,3.04%,38.3
76,5251710659,jdhf,0,214.8,DST Browns  FLEX Jalen Coker QB Tyler Shough RB Jahmyr Gibbs RB Jonathan Taylor TE Juwan Johnson WR Chris Olave WR Zay Flowers WR Luther Burden III,,Dalton Schultz,TE,2.91%,7.5
76,5252160447,mcitro22,0,214.8,DST Steelers  FLEX Ja'Marr Chase QB Tyler Shough RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Chris Olave WR Jalen Coker WR Adonai Mitchell,,Brian Thomas Jr.,WR,2.86%,7
78,5253803055,xkingxjamesx,0,214.74002,DST Bengals  FLEX David Montgomery QB Jared Goff RB Jahmyr Gibbs RB D'Andre Swift TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Michael Pittman Jr. WR Jalen Coker,,Colston Loveland,FLEX,2.71%,0
79,5250571874,Skybolt2,0,214.54,DST Jaguars  FLEX D'Andre Swift QB Bryce Young RB Jahmyr Gibbs RB Jonathan Taylor TE Darren Waller WR Tetairoa McMillan WR Garrett Wilson WR Jalen Coker,,Khalil Shakir,WR,2.64%,9
80,5250918760,texzoutlaw,0,214.43999,DST Jaguars  FLEX Tyler Warren QB Bryce Young RB Jahmyr Gibbs RB Jonathan Taylor TE Juwan Johnson WR Amon-Ra St. Brown WR Zay Flowers WR Devaughn Vele,,Ravens ,DST,2.64%,6
81,5254125906,dillmaak2022,0,214.36,DST Jets  FLEX Jaylen Warren QB Caleb Williams RB Jahmyr Gibbs RB Bijan Robinson TE Colston Loveland WR Chris Olave WR Jalen Coker WR Devaughn Vele,,Keenan Allen,WR,2.59%,9.2
82,5250538763,rebiii,0,214.19998,DST Jets  FLEX Jonathan Taylor QB Tyler Shough RB Jahmyr Gibbs RB Derrick Henry TE Juwan Johnson WR Chris Olave WR Jameson Williams WR Devaughn Vele,,Quinshon Judkins,RB,2.55%,7
82,5252527603,LSC4,0,214.19998,DST Steelers  FLEX Garrett Wilson QB Tyler Shough RB Jahmyr Gibbs RB Bucky Irving TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,Rome Odunze,WR,2.48%,7.2
82,5254177552,kev4454,0,214.19998,DST Jets  FLEX Jonathan Taylor QB Tyler Shough RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Amon-Ra St. Brown WR Garrett Wilson WR Devaughn Vele,,Cam Ward,QB,2.42%,11.7
85,5251768579,mariettajeff,0,213.9,DST Jaguars  FLEX Mark Andrews QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Juwan Johnson WR Chris Olave WR Tetairoa McMillan WR Jalen Coker,,Chuba Hubbard,RB,2.41%,23.7
86,5254077220,michelle1324,0,213.54001,DST Jets  FLEX D'Andre Swift QB Jared Goff RB Bijan Robinson RB Jonathan Taylor TE Mike Gesicki WR Chris Olave WR Jameson Williams WR Jalen Coker,,Tyler Warren,FLEX,2.39%,10.3
87,5246535555,Lucc_Vaton,0,213.43999,DST Jaguars  FLEX Mark Andrews QB Jared Goff RB Jahmyr Gibbs RB Jonathan Taylor TE Juwan Johnson WR Chris Olave WR Zay Flowers WR Jalen Coker,,Chase Brown,FLEX,2.35%,18.8
88,5251963239,Marcsurfs,0,213.09999,DST Colts  FLEX Garrett Wilson QB Tyler Shough RB Jahmyr Gibbs RB Bucky Irving TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Jalen Coker,,Garrett Wilson,FLEX,2.35%,13.9
89,5249927036,Geebir,0,212.79999,DST Steelers  FLEX Dalton Kincaid QB Tyler Shough RB Jahmyr Gibbs RB Derrick Henry TE Juwan Johnson WR Ja'Marr Chase WR Chris Olave WR Devaughn Vele,,Bijan Robinson,FLEX,2.28%,31.3
90,5250963421,snowstorm87,0,212.49998,DST Jets  FLEX Mark Andrews QB Trevor Lawrence RB Jahmyr Gibbs RB Derrick Henry TE Mike Gesicki WR Amon-Ra St. Brown WR Chris Olave WR Garrett Wilson,,Tee Higgins,FLEX,2.26%,8.9
91,5247609555,sdfish,0,212.4,DST Ravens  FLEX Dalton Schultz QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Dalton Kincaid WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,Zay Flowers,FLEX,2.23%,29
92,5253142179,LSU52,0,212.24,DST Bengals  FLEX Jahmyr Gibbs QB Bryce Young RB Bijan Robinson RB Jonathan Taylor TE Sam LaPorta WR DK Metcalf WR Keenan Allen WR Jalen Coker,,KC Concepcion,WR,2.23%,8.8
93,5253920696,migvaq,0,211.54,DST Steelers  FLEX Nico Collins QB Bryce Young RB James Cook III RB Derrick Henry TE Juwan Johnson WR Amon-Ra St. Brown WR Wan'Dale Robinson WR Jalen Coker,,Kayshon Boutte,WR,2.15%,3.1
94,5253468528,jonjirvin,0,211.46002,DST Jets  FLEX D'Andre Swift QB Lamar Jackson RB Jonathan Taylor RB Breece Hall TE Harold Fannin Jr. WR Zay Flowers WR Parker Washington WR Jalen Coker,,Breece Hall,FLEX,2.15%,22.8
94,5254016035,vickirhodes,0,211.45999,DST Lions  FLEX Tommy Tremble QB Josh Allen RB Jahmyr Gibbs RB David Montgomery TE Dalton Kincaid WR Amon-Ra St. Brown WR Nico Collins WR Devaughn Vele,,Dalton Kincaid,TE,2.12%,21
96,5248889764,kylemm,0,211.40001,DST Jaguars  FLEX Jahmyr Gibbs QB Tyler Shough RB Derrick Henry RB Breece Hall TE Juwan Johnson WR Emeka Egbuka WR DK Metcalf WR Jalen Coker,,Adonai Mitchell,WR,2.12%,9
97,5253993160,Sargnus,0,211.09999,DST Jets  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Sam LaPorta WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,Colts ,DST,2.12%,0
98,5249242154,BigChief67,0,210.90001,DST Jaguars  FLEX Jalen Coker QB Trevor Lawrence RB Jonathan Taylor RB David Montgomery TE Dalton Kincaid WR Chris Olave WR Jameson Williams WR Parker Washington,,Amon-Ra St. Brown,FLEX,2.10%,28.7
98,5249880547,cosmiccharlie12,0,210.90001,DST Steelers  FLEX Rico Dowdle QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Juwan Johnson WR Chris Olave WR Chris Godwin Jr. WR Jalen Coker,,Chris Olave,FLEX,2.08%,31.2
100,5253679849,dcw331,0,210.4,DST Jets  FLEX Devaughn Vele QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Juwan Johnson WR Ja'Marr Chase WR Zay Flowers WR Jalen Coker,,Falcons ,DST,2.06%,5
101,5249765454,salsurra,0,210.3,DST Steelers  FLEX Jahmyr Gibbs QB Trevor Lawrence RB D'Andre Swift RB Travis Etienne Jr. TE Juwan Johnson WR Chris Olave WR DJ Moore WR Michael Pittman Jr.,,Harold Fannin Jr.,FLEX,1.97%,4.1
102,5254230709,topdawg235,0,210.20001,DST Steelers  FLEX Breece Hall QB Tyler Shough RB Jahmyr Gibbs RB David Montgomery TE Juwan Johnson WR Chris Olave WR Parker Washington WR Wan'Dale Robinson,,Mike Gesicki,TE,1.94%,18.8
103,5253334082,Davidd0726,0,210,DST Jets  FLEX Chris Godwin Jr. QB Tyler Shough RB Jahmyr Gibbs RB Travis Etienne Jr. TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Jalen Coker,,Darren Waller,TE,1.88%,4.8
104,5253286015,RichMin603,0,209.96,DST Jets  FLEX Wan'Dale Robinson QB Caleb Williams RB Breece Hall RB D'Andre Swift TE Colston Loveland WR Amon-Ra St. Brown WR Chris Olave WR Jalen Coker,,Devaughn Vele,FLEX,1.83%,19.9
