player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,injury_raw_status,injury_status
00-0040206,Riley Leonard,QB,IND,9000,44191080,3.3792,3.3792,0.8621159678858163,0.9055536433157244,2.6381603007748504,KC,20.17,46.33,0.0,0.0,9.80385,statline_mc+recal_10_4b,0.2245691101850367,7.880890617979919,3.11125,17.371011060401756,0.1075,1.455,4.764330914338299,0.05225,0.0,0.0,0.0,0.0,CPT,showdown,30.995370370370367,0.2779869121048408,True,,ACTIVE
00-0039164,Anthony Richardson Sr.,QB,IND,9000,44191079,3.3384,3.3384,0.8621159678858163,0.9055536433157244,2.6062357833804963,KC,20.17,46.33,0.0,0.0,9.7701,statline_mc+recal_10_4b,0.2292626671573735,7.681489454234272,3.04075,17.116472440088167,0.113,1.4685,4.838316246501373,0.047,0.0,0.0,0.0,0.0,CPT,showdown,30.069444444444443,0.2613461146958081,True,,ACTIVE
00-0040081,Jake Briningstool,TE,KC,2400,44191094,2.2008,2.2008,0.9888524590163934,1.1749300369644275,2.556986310978537,IND,26.17,46.33,1.0,1.0,6.8100000000000005,statline_mc+recal_10_4b,0.0,6.605402873088389,0.0,0.0,0.0,0.0,0.0,0.0,0.866,0.59025,7.569075406523582,0.05875,CPT,showdown,59.88425925925925,1.9074069097672817,True,,ACTIVE
00-0041125,Seth McGowan,RB,IND,5100,44191088,3.10665,3.10665,0.900739943495224,0.9055536433157244,2.53398072360296,KC,20.17,46.33,1.0,1.0,6.9063,statline_mc+recal_10_4b,0.0,6.123140310428448,0.0,0.0,0.0,1.3,4.501627283340219,0.0335,0.782,0.59125,3.631577540679511,0.015,CPT,showdown,26.828703703703702,0.2105653920701694,True,,ACTIVE
00-0038145,Thomas Odukoya,TE,KC,300,44191119,2.0398500000000004,2.0398500000000004,0.9888524590163934,1.1749300369644275,2.369957033731572,IND,26.17,46.33,0.0,0.0,6.6528,statline_mc+recal_10_4b,0.0,6.22926649125389,0.0,0.0,0.0,0.0,0.0,0.0,0.79475,0.5335,6.952213558210477,0.05775,CPT,showdown,58.032407407407405,1.6858803506188065,True,,ACTIVE
00-0036182,Nick Westbrook-Ikhine,WR,IND,300,44191106,2.84085,2.84085,0.8845184884193417,0.9055536433157244,2.2754104245383626,KC,20.17,46.33,0.0,0.0,6.82935,statline_mc+recal_10_4b,0.0,5.6470479497034285,0.0,0.0,0.0,0.04925,0.209602411881202,0.0015,0.96875,0.5965,6.427300418374549,0.0405,CPT,showdown,47.47685185185185,0.8340884617026159,True,,ACTIVE
00-0035045,D.J. Montgomery,WR,IND,300,44191108,2.81115,2.81115,0.8845184884193417,0.9055536433157244,0.0,KC,20.17,46.33,0.0,0.0,6.84135,statline_mc+recal_10_4b,0.0,5.379773292214216,0.0,0.0,0.0,0.0535,0.2534564652235332,0.00125,0.97725,0.59525,6.337895072258204,0.03875,CPT,showdown,45.90277777777777,0.7509966524644063,True,Injured Reserve,OUT
00-0041132,Deion Burks,WR,IND,1500,44191097,2.8081500000000004,2.8081500000000004,0.8845184884193417,0.9055536433157244,2.2493121428525527,KC,20.17,46.33,0.0,0.0,6.7707,statline_mc+recal_10_4b,0.0,5.585261255286111,0.0,0.0,0.0,0.05625,0.2463974080367521,0.002,0.98375,0.59425,6.311516877646931,0.0385,CPT,showdown,44.97685185185185,0.7060406397733894,True,,ACTIVE
00-0039824,Jared Wiley,TE,KC,300,44191121,1.9269,1.9269,0.9888524590163934,1.1749300369644275,2.238750889708204,IND,26.17,46.33,0.0,0.0,6.580349999999999,statline_mc+recal_10_4b,0.0,5.817978918054973,0.0,0.0,0.0,0.0,0.0,0.0,0.7785,0.5185,6.477505931388021,0.05425,CPT,showdown,53.68055555555556,1.2613271166548088,True,,ACTIVE
00-0036637,Noah Gray,TE,KC,3000,44191036,1.9237,1.9237,0.9888524590163934,1.1749300369644275,2.2349998968705003,IND,26.17,46.33,1.0,1.0,4.7545,statline_mc+recal_10_4b,0.0,6.453630522544156,0.0,0.0,0.0,0.0,0.0,0.0,1.14175,0.76775,9.852498968705,0.07875,FLEX,showdown,54.88425925925926,6.713501099930199,True,,ACTIVE
00-0037292,Drew Ogletree,TE,IND,900,44191099,2.31435,2.31435,1.059297423887588,0.9055536433157244,2.2200469325871603,KC,20.17,46.33,1.0,1.0,6.479699999999999,statline_mc+recal_10_4b,0.0,5.808509491070852,0.0,0.0,0.0,0.0,0.0,0.0,0.859,0.54575,6.027812883914402,0.055,CPT,showdown,42.47685185185185,0.5976504985982514,True,,ACTIVE
00-0030615,James Winchester,TE,KC,300,44191118,1.87365,1.87365,0.9888524590163934,1.1749300369644275,2.176899726072436,IND,26.17,46.33,0.0,0.0,6.39,statline_mc+recal_10_4b,0.0,5.599753845860837,0.0,0.0,0.0,0.0,0.0,0.0,0.7835,0.51325,6.36016484048291,0.05,CPT,showdown,51.18055555555555,1.067690353357267,True,,ACTIVE
