player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available
00-0038994,Jordan Addison,WR,MIN,6100,133647-129210,3.2486,3.2486,1.0185896093622764,1.0707740738658722,3.543205074704939,GB,23.81,46.22,14.0,1.0,5.1468,statline_mc+recal_10_4b,0.0,9.386178938612995,0.0,0.0,0.0,0.17725,1.3403545743817955,0.009,2.279,1.2715,20.404196172667586,0.1155,81.34945526576428,19.401011522853004,,classic,True
00-0040867,Makai Lemon,WR,PHI,5500,133647-183380,2.7637,2.7637,1.140969265489402,1.1166451177694081,3.5210766881048046,WAS,24.83,44.28,0.0,0.0,5.1044,statline_mc+recal_10_4b,0.0,9.283581506125072,0.0,0.0,0.0,0.14175,1.154236897204982,0.00875,2.054,1.26025,19.825279983843064,0.12625,26.95976394849785,0.5165133126153914,,classic,True
00-0037012,Trey Lance,QB,LAC,6000,133647-149696,2.6569,2.6569,1.0405077628785266,1.271797178031368,3.515895948702002,ARI,28.28,47.22,4.0,0.34617542705344684,6.5604,statline_mc+recal_10_4b,0.6558177894456497,7.948642989378417,6.15675,43.46641932511186,0.246,1.26275,7.332391756975274,0.0605,0.0,0.0,0.0,0.0,37.90395116568288,1.2939362950314433,,classic,True
00-0031588,Stefon Diggs,WR,WAS,6000,133647-25079,4.5519,4.5519,0.850841069309695,0.8742481308673901,3.3859173599199295,PHI,19.44,44.28,17.0,1.0,4.9175,statline_mc+recal_10_4b,0.0,8.504403345217812,0.0,0.0,0.0,0.0,0.0,0.0,2.67575,2.05675,18.680423599199287,0.08575,68.29682120454652,8.12665663509171,,classic,True
00-0041562,Fernando Mendoza,QB,LV,6700,133647-175137,3.076,3.076,1.1144429477503337,0.9718365281915791,3.3314971385118897,MIA,21.61,40.17,0.0,0.0,6.5708,statline_mc+recal_10_4b,0.4372213059493683,7.864618922194254,4.61275,35.57267467174218,0.21275,1.855,8.563401516422026,0.08825,0.0,0.0,0.0,0.0,16.288312120763653,0.3062499626231836,,classic,True
00-0039910,Jayden Daniels,QB,WAS,7900,133647-102785,4.0367,4.0367,0.8918431675161723,0.8742481308673901,3.147388117164881,PHI,19.44,44.28,7.0,0.361841426073573,6.4529,statline_mc+recal_10_4b,0.5447405744244178,7.255938734236471,7.78925,41.14808390731655,0.261,1.48,5.559647608722194,0.03975,0.0,0.0,0.0,0.0,27.39500206301877,0.6421665129091372,,classic,True
00-0039146,Jayden Reed,WR,GB,5700,133647-89455,4.0061,4.0061,0.7647565203229334,1.008263533644387,3.0889839601961966,MIN,22.42,46.22,5.0,0.8,4.6287,statline_mc+recal_10_4b,0.0009572813746678144,8.143707276216153,0.0,0.0,0.0,0.26675,1.2139420289925469,0.006,2.42025,1.70475,15.597147572969417,0.0905,65.11880040560297,6.575045825643645,,classic,True
00-0035659,Terry McLaurin,WR,WAS,6200,133647-56250,3.9255,3.9255,0.850841069309695,0.8742481308673901,2.9199660982088247,PHI,19.44,44.28,10.0,1.0,4.7988,statline_mc+recal_10_4b,0.0,7.88110917961391,0.0,0.0,0.0,0.0,0.0,0.0,2.46025,1.53825,16.83841098208825,0.0805,66.48363439135971,7.201364198605293,,classic,True
00-0040222,Cam Miller,QB,MIA,6000,133647-208467,3.4469,3.4469,0.9836123276451436,0.8346731125976727,2.829906355554138,LV,18.56,40.17,0.0,0.0,6.3768,statline_mc+recal_10_4b,0.49487042891268007,6.592712851487631,6.6865,39.66745033529002,0.2555,0.84875,2.8995834214253664,0.03025,0.0,0.0,0.0,0.0,11.622854077253217,0.22438674506769363,,classic,True
00-0041156,Mark Gronowski,QB,MIA,6000,133647-160265,3.3908,3.3908,0.9836123276451436,0.8346731125976727,2.7838166566407305,LV,18.56,40.17,0.0,0.0,6.3699,statline_mc+recal_10_4b,0.4758730208418814,6.586836194258637,6.661,39.008791913108766,0.2485,0.87525,3.024649801163796,0.02975,0.0,0.0,0.0,0.0,11.01940580139115,0.21553886008782355,,classic,True
00-0040014,Kyle McCord,QB,MIA,6000,133647-152646,3.3797,3.3797,0.9836123276451436,0.8346731125976727,2.774722889354079,LV,18.56,40.17,0.0,0.0,6.3248,statline_mc+recal_10_4b,0.49728866358101326,6.508471672862513,6.76275,39.750410733740544,0.24475,0.85275,2.892064600044574,0.02975,0.0,0.0,0.0,0.0,10.41595752552908,0.20703985965812324,,classic,True
00-0035249,Josh Oliver,TE,MIN,4200,133647-63907,2.8732,2.8732,0.877306227501699,1.0707740738658722,2.6990510390522875,GB,23.81,46.22,12.0,1.0,3.892,statline_mc+recal_10_4b,0.0,7.6427979445932435,0.0,0.0,0.0,0.0,0.0,0.0,1.7915,1.25875,12.926760390522874,0.13225,73.53569008357806,9.53573355736019,,classic,True
00-0037809,Chig Okonkwo,TE,WAS,5000,133647-88297,5.0062,5.0062,0.5979374728661674,0.8742481308673901,2.6169631696634332,PHI,19.44,44.28,17.0,1.0,3.4811,statline_mc+recal_10_4b,0.0,6.634391708647571,0.0,0.0,0.0,0.0,0.0,0.0,3.022,2.077,11.614631696634333,0.07425,67.7782170017318,6.496182069649119,,classic,True
00-0037291,Jalen Nailor,WR,LV,5200,133647-92859,2.7554,2.7554,0.9732207254368208,0.9718365281915791,2.60609572906277,MIA,21.61,40.17,17.0,1.0,4.6397,statline_mc+recal_10_4b,0.0,7.43141718969327,0.0,0.0,0.0,0.0875,0.5176107369521701,0.003,1.78925,1.0375,14.200846553675527,0.10125,60.950690939961326,4.979888908925522,,classic,True
00-0038393,Dontayvion Wicks,WR,PHI,5500,133647-110457,2.0132,2.0132,1.140969265489402,1.1166451177694081,2.5649336018637463,WAS,24.83,44.28,13.0,1.0,4.6526,statline_mc+recal_10_4b,0.0,7.705087712078629,0.0,0.0,0.0,0.10475,0.934583570520012,0.00625,1.466,0.92725,14.403502448117454,0.09,72.35756732537848,10.65326064383813,,classic,True
00-0040996,Jacob Clark,QB,LV,6000,133647-103444,2.3121,2.3121,1.1144429477503337,0.9718365281915791,2.5041682546491075,MIA,21.61,40.17,0.0,0.0,6.3725,statline_mc+recal_10_4b,0.30680035284534185,6.32264599742127,3.815,29.78540533217888,0.18025,1.16925,5.402520413619524,0.04875,0.0,0.0,0.0,0.0,12.42624315524641,0.23673239672425184,,classic,True
00-0037256,Rachaad White,RB,WAS,5600,133647-137902,2.7096,2.7096,1.053358078465259,0.8742481308673901,2.4952438106288763,PHI,19.44,44.28,17.0,1.0,4.6394,statline_mc+recal_10_4b,0.1221426602758063,7.07099915674726,0.0,0.0,0.0,2.72975,10.775198212593121,0.0795,0.93475,0.7635,4.5797398936956455,0.022,57.229971387696715,6.162549646317498,,classic,True
00-0040311,Theo Wease Jr.,WR,LAC,4200,133647-103083,1.9539,1.9539,0.9720574207207836,1.271797178031368,2.4155787237490687,ARI,28.28,47.22,3.0,0.6,4.6312,statline_mc+recal_10_4b,0.0,7.229764451644714,0.0,0.0,0.0,0.00575,0.02483194004719315,0.0,1.32725,0.8085,14.858455297443491,0.089,57.18902042163844,3.8753250718180428,,classic,True
00-0039849,Marvin Harrison Jr.,WR,ARI,5900,133647-152651,3.1873,3.1873,0.8774109490239873,0.8517623250323235,2.3820474778290244,LAC,18.94,47.22,12.0,0.6972251262385672,4.2523,statline_mc+recal_10_4b,0.0,6.669118333548699,0.0,0.0,0.0,0.0,0.0,0.0,2.1425,1.241,12.920474778290249,0.08175,54.7588749629243,3.295704162647631,,classic,True
00-0038685,Chris Brooks,RB,GB,4500,133647-91488,2.5581,2.5581,0.9038510999309826,1.008263533644387,2.3312151322289196,MIN,22.42,46.22,17.0,1.0,4.5483,statline_mc+recal_10_4b,0.11460199311148642,6.647681699997141,0.0,0.0,0.0,3.47175,12.970063874654828,0.076,0.59575,0.4515,3.2745874476343717,0.0115,60.36659513590843,7.595825692521568,,classic,True
