player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,salary_anchor,final_projection_pre_anchor,anchor_weight_used,points_above_anchor,chalk_score,estimated_ownership_pct
00-0034418,Cedrick Wilson,WR,DAL,3500,5766,9.338,11.862,1.1227509622578546,1.202521670606777,11.305595406745532,WAS,27.25,48.0,6.660256328233657,14.311403045782626,0.3929,4.6453,68.58088658606793,4.961107186563864
00-0034411,Russell Gage,WR,ATL,5700,5680,11.0,15.302,0.8934784696216798,0.8494877856579984,11.295357843839056,CAR,19.25,41.0,13.013353495644406,9.981596463046728,0.4333,-1.718,54.42789291882556,1.9311120482280049
00-0033009,Tyler Boyd,WR,CIN,5000,5455,10.153333333333334,9.8412,1.0164510213676905,1.026004728132388,10.801537432368576,SF,23.25,49.0,11.46199172756504,10.425984990001965,0.3625,-0.6605,61.14475388601036,3.0219029804572424
00-0036182,Nick Westbrook,WR,TEN,4500,5871,7.07,9.556000000000004,1.1015487981637149,1.1694247438928291,10.516923619752257,JAX,26.5,44.5,10.220654426705371,10.708627215253182,0.3929,0.2963,66.58049078871619,4.341714078485833
DST_DAL,Dallas,DST,DAL,3400,7009,9.75,9.75,1.0,1.0920826161790016,10.268697785302884,WAS,27.25,48.0,8.576288509784245,10.647805507745266,0.183,1.6924,78.30310880829015,13.074183769016482
00-0033925,D'Onta Foreman,RB,TEN,5100,5539,6.9750000000000005,7.747826086956522,1.018022501594524,1.1694247438928291,10.088029512075275,JAX,26.5,44.5,11.066831939163498,8.763767404838275,0.575,-0.9788,62.40057956305753,3.4488983818843435
00-0033308,Matt Breida,RB,BUF,5300,5567,8.28,7.737,0.994090042785109,1.0811662726556344,10.081449107702117,TB,24.5,52.5,11.400381130834978,8.607348611259509,0.5278,-1.3189,59.204569734522735,2.7870607574078243
00-0033375,Tim Patrick,WR,DEN,4800,5651,9.983333333333333,5.667,1.0046934576427582,1.2135539795114263,10.027148919096009,DET,27.5,42.0,10.882395118386436,9.540832452832822,0.3625,-0.8552,65.20275618883132,3.9606978947028346
00-0034348,Courtland Sutton,WR,DEN,5300,5637,10.491666666666664,4.077999999999999,1.0046934576427582,1.2135539795114263,10.0002761219886,DET,27.5,42.0,11.966844822485209,8.882031174647393,0.3625,-1.9666,62.25136729994243,3.253271113142847
00-0035831,James Robinson,RB,JAX,5800,5849,14.063636363636364,8.959999999999999,0.8794285610265679,0.7943262411347518,9.991824720141995,TEN,18.0,44.5,13.219159229898075,8.041617235636982,0.3767,-3.2273,50.47753859302388,1.5576612107959764
00-0033106,Jared Goff,QB,DET,5100,1490,13.158181818181818,13.0482,0.8826354267824431,0.6398739164696612,9.96701922621767,DEN,14.5,42.0,14.2145,7.400359721204818,0.3767,-4.2475,25.7498949726929,0.2623772295867548
00-0035644,Noah Fant,TE,DEN,4500,4748,9.945454545454544,6.833,0.9636912831490068,1.2135539795114263,9.961722854047462,DET,27.5,42.0,10.210935562499998,9.811129078351543,0.3767,-0.2492,77.9666450777202,6.826377251288479
00-0036555,Chuba Hubbard,RB,CAR,5900,5911,8.445454545454545,5.765,1.136827513534994,0.9598108747044918,9.93095527953866,ATL,21.75,41.0,13.53552389580974,7.752793495374852,0.3767,-3.6046,56.084477324929225,2.263656413296118
00-0027685,Emmanuel Sanders,WR,BUF,4900,3983,10.35,6.082,1.0085483965689654,1.0811662726556344,9.7611527723812,TB,24.5,52.5,11.172193422975738,8.958796324003915,0.3625,-1.411,57.66569516407599,2.396356624506271
00-0029000,Cole Beasley,WR,BUF,5000,5163,10.258333333333336,5.719,1.0085483965689654,1.0811662726556344,9.708177204379991,TB,24.5,52.5,11.46199172756504,8.710910122568887,0.3625,-1.7538,56.62402849740933,2.235589756354872
00-0031941,Jamison Crowder,WR,NYJ,4700,5410,10.355555555555556,8.529,1.1092586760161292,0.8274231678486998,9.47562728880856,NO,18.75,42.0,10.632787953555878,8.6663711376454,0.4115,-1.1572,48.178972366148535,1.2731591409133522
