player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_status
DST_WAS,Commanders,DST,WAS,2300,44096283,5.5436689575,5.5436689575,0.7433171233191498,0.9103358988082224,5.5436689575,PHI,19.14,44.17,,,5.6035,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7183014354067,1.479088096169792,,classic,True,ACTIVE
00-0035229,T.J. Hockenson,TE,MIN,3300,44096189,5.6543,5.6543,0.9108235987747952,1.0724572457245725,5.523193235039335,GB,23.83,46.06,15.0,1.0,5.7246,statline_mc+recal_10_4b,1.036871985964492,12.181488107338843,0.0,0.0,0.0,0.0,0.0,0.0,3.17025,2.32425,21.304432350393345,0.16775,78.10793695468618,10.569818932851089,,classic,True,ACTIVE
00-0038994,Jordan Addison,WR,MIN,5800,44096035,4.849,4.849,1.0154804383117852,1.0724572457245725,5.280882546540979,GB,23.83,46.06,14.0,1.0,6.5338,statline_mc+recal_10_4b,0.3063312376470089,11.927612181661488,0.0,0.0,0.0,0.173,1.1697042814248948,0.00675,2.96325,1.64825,25.081621183984893,0.1405,73.35370649537917,13.88423383779941,,classic,True,ACTIVE
00-0039880,Malik Washington,WR,MIA,4200,44096057,5.6542,5.6542,1.0886837147795838,0.8411341134113413,5.177755500597445,LV,18.69,40.39,17.0,1.0,6.2992,statline_mc+recal_10_4b,0.6558842879351465,11.525619528340512,0.0,0.0,0.0,0.624,3.914837719041674,0.0235,3.056,2.0515,17.12271728693277,0.136,52.70236612702366,4.120478150431394,,classic,True,ACTIVE
00-0035700,Josh Jacobs,RB,GB,6300,44095939,5.7093,5.7093,0.8913768397369797,1.0,0.0,MIN,22.22,46.06,15.0,0.8,6.2963,statline_mc+recal_10_4b,0.526292927568292,12.019577952384449,0.0,0.0,0.0,5.33225,18.837734022732107,0.21575,1.28025,0.9965,7.131505583737699,0.028,61.16807655502392,3.6424274788011015,,classic,True,OUT
00-0039923,J.J. McCarthy,QB,MIN,4500,44095912,5.0724,5.0724,0.9209785667893484,1.0724572457245725,0.0,GB,23.83,46.06,10.0,0.8,7.1129,statline_mc+recal_10_4b,0.9076221238915622,10.892580996496685,9.41675,63.51889952439293,0.424,1.5305,6.653044495932802,0.08425,0.0,0.0,0.0,0.0,53.482336523126,1.9647170737612711,,classic,True,OUT
00-0037263,Tyler Allgeier,RB,ARI,4900,44095949,6.6838,6.6838,0.8434331936092995,0.8537353735373537,4.81276499869048,LAC,18.97,47.17,17.0,1.0,6.2982,statline_mc+recal_10_4b,0.4589621451958539,11.319595148795038,0.0,0.0,0.0,7.9085,20.41082300694757,0.236,1.02975,0.8045,4.196826979957224,0.0175,65.92583732057416,5.613498002713756,,classic,True,ACTIVE
00-0041027,Jeremiyah Love,RB,ARI,6400,44095937,6.645,6.645,0.8434331936092995,0.8537353735373537,4.78488008687485,LAC,18.97,47.17,0.0,0.0,6.1841,statline_mc+recal_10_4b,0.5859286486885165,10.707231867007316,0.0,0.0,0.0,5.883,18.383701750207017,0.1365,1.6045,1.2075,6.842599118541477,0.03475,21.14904306220096,0.0958046932869604,,classic,True,ACTIVE
00-0039391,Kimani Vidal,RB,LAC,4800,44095955,3.1508,3.1508,1.1940378460178651,1.2686768676867688,4.772937212618541,ARI,28.19,47.17,13.0,0.8,6.4764,statline_mc+recal_10_4b,0.2761562147361081,11.29631333660975,0.0,0.0,0.0,3.46125,22.212800147342595,0.13325,0.8315,0.6175,7.819071978842818,0.04325,69.37479904306218,7.6807410230997135,,classic,True,ACTIVE
00-0039146,Jayden Reed,WR,GB,4900,44096047,6.1876,6.1876,0.7706412812484694,1.0,4.768446680245155,MIN,22.22,46.06,5.0,0.8,6.1331,statline_mc+recal_10_4b,0.3040162550728987,10.445754682653437,0.0,0.0,0.0,0.3245,1.4170747942460171,0.0085,2.8635,2.01125,18.859892008205534,0.10325,60.40176148653077,6.48100001616756,,classic,True,ACTIVE
