position,ecr,exp_pts
RB,59.45,5.002
RB,59.49,5.002
RB,59.5,5.002
RB,59.59,5.002
RB,59.63,5.002
RB,59.64,5.002
RB,59.71,5.002
RB,59.75,5.002
RB,59.89,5.002
RB,59.93,5.002
RB,60.02,5.002
RB,60.03,5.002
RB,60.25,5.002
RB,60.3,5.002
RB,60.43,5.002
RB,60.44,5.002
RB,60.45,5.002
RB,60.51,5.002
RB,60.6,5.002
RB,60.61,5.002
RB,60.65,5.002
RB,60.66,5.002
RB,60.7,5.002
RB,60.75,5.002
RB,60.85,5.002
RB,61.03,5.002
RB,61.1,5.002
RB,61.13,5.002
RB,61.14,5.002
RB,61.21,5.002
RB,61.23,5.002
RB,61.28,5.002
RB,61.33,5.002
RB,61.37,5.002
RB,61.45,5.002
RB,61.55,5.002
RB,61.57,5.002
RB,61.64,5.002
RB,61.65,5.002
RB,61.68,5.002
RB,61.74,5.002
RB,61.8,5.002
RB,61.81,5.002
RB,61.94,5.002
RB,61.98,5.002
RB,61.99,5.002
RB,62.04,5.002
RB,62.11,5.002
RB,62.25,5.002
RB,62.31,5.002
RB,62.38,5.002
RB,62.47,5.002
RB,62.49,5.002
RB,62.57,5.002
RB,62.61,5.002
RB,62.75,5.002
RB,62.79,5.002
RB,62.85,5.002
RB,62.91,5.002
RB,62.92,4.225
RB,63.0,4.225
RB,63.06,4.225
RB,63.24,3.91
RB,63.25,3.91
RB,63.26,3.91
RB,63.31,3.91
RB,63.33,3.91
RB,63.45,3.91
RB,63.52,3.91
RB,63.53,3.91
RB,63.55,3.91
RB,63.56,3.91
RB,63.7,3.91
RB,63.77,3.91
RB,63.83,3.91
RB,64.07,3.91
RB,64.21,3.91
RB,64.23,3.91
RB,64.29,3.91
RB,64.33,3.91
RB,64.38,3.91
RB,64.44,3.91
RB,64.51,3.91
RB,64.52,3.91
RB,64.53,3.91
RB,64.62,3.91
RB,64.64,3.91
RB,64.69,3.91
RB,64.7,3.91
