player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available
00-0038619,Andrei Iosivas,WR,CIN,3100,44157589,4.5312,4.5312,1.069809020723283,0.9641976231407429,4.673915142428696,HOU,21.5,45.5,1.0,1.0,6.1159,statline_mc+recal_10_4b,0.4118037379262285,10.26823891685008,0.0,0.0,0.0,0.035,0.15863629534788753,0.00075,2.4665,1.53775,19.3174777496768,0.11575,4.262111404502468,0.4118037379262285,3.2,,56.002450980392155,0.4085212963425724,1.7379531648286406,,classic,True
00-0040131,Kyle Williams,WR,NE,3600,44157553,5.1188,5.1188,0.8643640796424219,1.050302713207265,4.6470286170643655,PIT,23.42,41.5,1.0,1.0,5.2085,statline_mc+recal_10_4b,2.065346052028607,8.80509769163389,0.0,0.0,0.0,0.058,0.44258579143752674,0.00275,1.5715,0.96825,11.214239858920056,0.068,2.5816825650357584,2.065346052028607,0.0,,55.94362745098039,0.3290858970664292,1.731949878356179,,classic,True
00-0041067,Bryce Lance,WR,NO,3200,44157575,5.7393,5.7393,0.9625355546525804,0.8310038119440915,4.590724955186817,BAL,18.53,45.67,1.0,1.0,5.956,statline_mc+recal_10_4b,0.4335305668670235,10.303802275840418,0.0,0.0,0.0,0.03325,0.171465785095617,0.001,2.86325,1.8195,18.439477830312303,0.11225,4.424844361540792,0.16588059364602437,7.2,,53.261029411764696,0.5155355804214887,1.4791209912006174,,classic,True
00-0038558,Darnell Washington,TE,PIT,2900,44157797,6.4286,6.4286,0.8494613583138173,0.8108229314597502,4.427782784480271,NE,18.08,41.5,1.0,1.0,4.8609,statline_mc+recal_10_4b,1.3566464301081398,8.745195175366149,0.0,0.0,0.0,0.0,0.0,0.0,2.13525,1.461,10.971363543721306,0.0845,3.071136354372131,1.3566464301081398,3.8,,53.208807716635036,0.39117607612736727,0.84339947194422,,classic,True
00-0039746,Will Shipley,RB,PHI,4200,44157357,4.0801,4.0801,1.0049239876227634,1.0462665371103967,4.289844370279098,TEN,23.33,39.5,1.0,1.0,6.0174,statline_mc+recal_10_4b,0.22019621280357765,9.96887360649606,0.0,0.0,0.0,3.664,15.980224076997882,0.1145,1.4095,1.076,8.599328126481394,0.042,4.501955220347927,-0.21211085006882957,2.2,,46.79667519181585,0.22156351272889827,0.5051462115965726,,classic,True
00-0039855,Jalen McMillan,WR,TB,4400,44157517,3.3543,3.3543,1.1153189760260056,1.1175723148217356,4.180939858781182,CLE,24.92,41.5,0.0,0.0,5.1204,statline_mc+recal_10_4b,1.8581954927916362,8.219248211653415,0.0,0.0,0.0,0.0515,0.28193057112249753,0.00275,1.22225,0.75625,11.133013088772955,0.0635,2.3227443659895455,1.8581954927916362,0.0,,60.54950980392156,0.3538114694972321,2.2709133949317115,,classic,True
00-0041326,CJ Donaldson,RB,NO,4000,44157387,4.699,4.699,1.0247275662585766,0.8310038119440915,4.0014085542699425,BAL,18.53,45.67,1.0,1.0,5.3018,statline_mc+recal_10_4b,1.001198715891901,8.57980991186572,0.0,0.0,0.0,2.30575,8.109059912693503,0.0575,1.52,1.12275,7.023246863587033,0.0365,3.2024806776280537,0.7989278766418888,1.2,,53.05813086104008,0.2388861885026961,0.8925398459157661,,classic,True
00-0038951,Sean Tucker,RB,TB,4400,44157345,3.7687,3.7687,0.9403471007668506,1.1175723148217356,3.960531409307847,CLE,24.92,41.5,0.0,0.0,5.1672,statline_mc+recal_10_4b,1.7998681122071838,8.023458686432665,0.0,0.0,0.0,2.27075,10.265314208919472,0.07525,0.4855,0.357,2.8051380650130113,0.01275,2.2002952273932483,1.7602361819145989,0.0,,55.051683716965044,0.23446033867130442,1.0698815664320793,,classic,True
00-0035631,Drew Sample,TE,CIN,2600,44157807,3.6571,3.6571,1.0952693208430913,0.9641976231407429,3.862068126312681,HOU,21.5,45.5,1.0,1.0,5.5656,statline_mc+recal_10_4b,0.0,9.995214554574439,0.0,0.0,0.0,0.0,0.0,0.0,2.56225,1.75475,19.625321489734176,0.1445,4.643532148973417,-0.7814640226607361,4.9,,63.35191334598355,0.5015616594137672,1.5316394666549686,,classic,True
00-0040187,Mitchell Evans,TE,CAR,2500,44157867,3.4302,3.4302,1.0907728337236535,1.0314672247552132,3.859275555670287,ATL,23.0,43.5,1.0,1.0,5.0344,statline_mc+recal_10_4b,0.8790867178834327,8.85153430368129,0.0,0.0,0.0,0.0,0.0,0.0,1.5855,1.05375,13.051888377868538,0.101,2.980188837786854,0.8790867178834327,1.9,,58.82412239089184,0.3694621819955217,1.1735085992224563,,classic,True
00-0041044,Zachariah Branch,WR,ATL,3500,44157557,3.9266,3.9266,1.061357171881349,0.9193512220644292,3.8313997423546704,CAR,20.5,43.5,1.0,1.0,5.5472,statline_mc+recal_10_4b,0.7452534829183262,8.664526639039222,0.0,0.0,0.0,0.0545,0.2941693789417631,0.0025,1.7855,1.104,13.764793215421681,0.087,3.0861462594363442,0.7452534829183262,0.0,,48.489460784313735,0.2961839538967104,1.117135119245377,,classic,True
